"Frequency Output","Frequency Input","FCC Callsign",Agency/Category,County,Description,"Alpha Tag","PL Output Tone","PL Input Tone",Mode,"Class Station Code",Tag
146.880000,146.28000,K0MIW,Repeaters,Marshall,Gilman,"Gilman Ham",CSQ,"141.3 PL",FM,RM,Ham
146.880000,146.28000,W0BXR,Repeaters,Scott,"Davenport Amateur Radio Club Repeater - Eldridge","W0BXR Eldrid","77.0 PL","77.0 PL",FM,RM,Ham
146.895000,146.29500,KB0NFF,Repeaters,Polk,"Saylor Township","Star 2","114.8 PL","114.8 PL",FM,RM,Ham
146.895000,146.29500,KB0NFF,Repeaters,Polk,"Saylor Township","Star 2",,,YSF,RM,Ham
146.910000,146.31000,N0PSF,"General Amateur Radio",Hamilton,"Webster City Repeater","WC Ham",,CSQ,FM,RM,Ham
146.910000,146.31000,K0AAR,"Skywarn/RACES in Woodbury County",Woodbury,"Sioux City Ham Repeater 1","SxCity Ham1 ","110.9 PL","110.9 PL",FM,RM,Ham
146.910000,146.31000,KC0AQS,Repeaters,Muscatine,"Muscatine Repeater",MuscatineHam,"192.8 PL","192.8 PL",FM,RM,Ham
146.925000,146.32500,WÃ˜CYY,"Amateur Radio",Howard,"Cresco Repeater","Cresco Ham","103.5 PL","103.5 PL",FM,RM,Ham
146.925000,146.32500,W0ALO,Repeaters,Appanoose,Moravia,"Moravia Ham",,"146.2 PL",FM,RM,Ham
146.940000,146.34000,W0MG,Repeaters,"Black Hawk","Waterloo - ARES Primary","BH Co ARES 1","136.5 PL","136.5 PL",FM,RM,Ham
146.940000,146.34000,W0AK,Repeaters,Polk,"Des Moines - Park and Fleur","DM 94","114.8 PL","114.8 PL",FM,RM,Ham
146.940000,146.34000,W0BXR,Repeaters,Scott,"Davenport - Local","W0BXR SAU",CSQ,"100.0 PL",FM,RM,Ham
146.940000,146.34000,W0BXR,Repeaters,Scott,"Davenport - ICN","W0BXR ICN",CSQ,"203.5 PL",FM,RM,Ham
146.955000,146.35500,NÃ˜AGE,"General Amateur Radio",Wright,"Clarion Repeater","Clarion Ham","103.5 PL","103.5 PL",FM,RM,Ham
146.970000,146.37000,K0TFT,"Skywarn/RACES in Woodbury County",Woodbury,"Sioux City Ham Repeater 2","SxCity Ham2","110.9 PL","110.9 PL",FM,RM,Ham
146.970000,146.37000,KE0BX,Repeaters,Wapello,Ottumwa,"Ottumwa Ham",,"100.0 PL",FM,RM,Ham
146.970000,146.37000,KB0NWB,Skywarn/RACES,Page,"Clarinda Repeater - Linked to Red Oak and Coburg","Clarinda Ham",,"136.5 PL",FM,RM,Ham
146.985000,146.38500,KC0AQS,Repeaters,Louisa,"Wapello Repeater","Wapello Ham","192.8 PL","192.8 PL",FM,RM,Ham
146.985000,146.38500,WÃ˜AK,Repeaters,Madison,Truro,"Truro Ham","114.8 PL","114.8 PL",FM,RM,Ham
147.015000,147.61500,K0KWO,Skywarn/RACES,Hamilton,"Webster City Repeater","WC Ham","103.5 PL",CSQ,FM,RM,Ham
147.015000,147.61600,KI0EO,Repeaters,Plymouth,"Le Mars","Le Mars Ham",,"110.9 PL",FM,RM,Ham
147.030000,147.63000,W0WML,Repeaters,Jasper,Newton,"Newton Ham","114.8 PL","114.8 PL",FM,RM,Ham
147.045000,147.64500,N0BKB,Skywarn/RACES,Guthrie,"Menlo Repeater","Menlo Ham","114.8 PL","114.8 PL",FM,RM,Ham
147.045000,147.64500,W0ARC,Skywarn/RACES,Washington,"Washington Repeater",WashingtnHam,"146.2 PL","146.2 PL",FM,RM,Ham
147.045000,147.64500,W0ARC,Skywarn/RACES,Washington,"Washington Repeater",WashingtnHam,,,YSF,RM,Ham
147.060000,147.66000,K0TFT,"Amateur Radio in Woodbury County",Woodbury,"Sioux City Ham Repeater 3","SxCity Ham 3","110.9 PL","110.9 PL",FM,RM,Ham
147.090000,147.69000,KÃ˜CNM,Repeaters,Crawford,Dension,"Denison Ham",CSQ,CSQ,FM,RM,Ham
